type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^lyon$;FinalNodeRegex:frankfurt;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,wrong,2.0,['lyon'],"[""('athens', 'sofia')"", ""('brussels', 'amsterdam')""]",1.0,2.6141743659973145,233,4864,53
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:frankfurt;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,4.667086601257324,234,4864,52
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:frankfurt;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,4.739907503128052,235,4864,51
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^strasbourg$;FinalNodeRegex:marseille;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,wrong,2.0,['strasbourg'],"[""('marseille', 'lyon')"", ""('milan', 'zurich')""]",1.0,1.5336570739746094,235,4865,50
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:marseille;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,5.44468092918396,236,4865,49
waypoint,Type:waypoint;IngressNodeRegex:^lyon$|^geneva$|^paris$|^london$|^brussels$|^amsterdam$|^strasbourg$;FinalNodeRegex:marseille;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,wrong,7.0,['strasbourg'],"[""('geneva', 'basel')"", ""('brussels', 'london')""]",1.0,1.6371495723724365,236,4866,48
waypoint,Type:waypoint;IngressNodeRegex:^lyon$|^geneva$|^paris$|^london$|^brussels$|^amsterdam$;FinalNodeRegex:marseille;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,wrong,6.0,"['geneva', 'paris', 'london', 'brussels', 'amsterdam']","[""('marseille', 'lyon')"", ""('amsterdam', 'frankfurt')""]",5.0,1.8622558116912842,236,4871,43
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:marseille;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,3.8814685344696045,237,4871,42
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^zurich$|^strasbourg$;FinalNodeRegex:lyon;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,wrong,3.0,['strasbourg'],"[""('praha', 'frankfurt')"", ""('strasbourg', 'basel')""]",1.0,2.2028205394744873,237,4872,41
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^zurich$;FinalNodeRegex:lyon;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,wrong,2.0,['zurich'],"[""('geneva', 'zurich')"", ""('brussels', 'london')""]",1.0,2.7281136512756348,237,4873,40
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:lyon;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,4.531854867935181,238,4873,39
waypoint,Type:waypoint;IngressNodeRegex:^geneva$|^marseille$|^paris$|^london$|^brussels$|^amsterdam$|^frankfurt$|^warsaw$|^praha$|^milan$|^vienna$|^bratislava$|^zurich$|^strasbourg$;FinalNodeRegex:lyon;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,14.0,,,0.0,6.64964485168457,252,4873,25
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:vienna;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,5.2824647426605225,253,4873,24
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:vienna;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,4.242303848266602,254,4873,23
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:brussels;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,4.85367488861084,255,4873,22
waypoint,Type:waypoint;IngressNodeRegex:^lyon$|^marseille$;FinalNodeRegex:brussels;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,wrong,2.0,['marseille'],"[""('paris', 'brussels')"", ""('amsterdam', 'frankfurt')""]",1.0,1.887019157409668,255,4874,21
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:brussels;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,4.982201814651489,256,4874,20
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:bratislava;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,4.6629743576049805,257,4874,19
waypoint,Type:waypoint;IngressNodeRegex:^lyon$;FinalNodeRegex:bratislava;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,correct,1.0,,,0.0,4.683534383773804,258,4874,18
waypoint,Type:waypoint;IngressNodeRegex:^geneva$;FinalNodeRegex:amsterdam;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:geneva;,correct,1.0,,,0.0,4.731864929199219,259,4874,17
waypoint,Type:waypoint;IngressNodeRegex:^lyon$|^marseille$;FinalNodeRegex:amsterdam;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;Waypoints:lyon;,wrong,2.0,['marseille'],"[""('paris', 'geneva')"", ""('zurich', 'frankfurt')""]",1.0,1.5601105690002441,259,4875,16
